name;processed
anna_na_see;0
baryna;0
bespokojnyj_gost;0
bespridanniza;0
bezotzovsina;0
blagodarnyj;0
bratez;0
cajka1;0
cajka2;0
capaev_i_pustota;0
dacniki;0
dada_vana;0
dama_s_sobackoj;0
delez;0
den__za_gorodom;0
dobryj_znakomyj;0
duel;0
dva_skandala;0
dvadzat__devatoe_iuna;0
fal_sivye_zerkala;0
glupyj_franzuz;0
govorit__ili_molcat;0
gresnik_iz_toledo;0
groza;0
hroniki_zavodnoj;0
ivanov;0
jenit_ba;0
kalina_krasnaa;0
kolaska;0
labirint_otrajenij;0
ledokol;0
mertvye_dusi;0
moa_jizn_;0
na_vsakogo_mudreza;0
nevskij_prospekt;0
nos;0
obitaemyj_ostrov;0
osennie_vizity;0
ostrov_sahalin;0
palata_no_6;0
pelagia_i_belyj_bul_dog;0
piknik_na_obocine;0
planeta_kotoroj_net;0
ponedel_nik_v_subbotu;0
portret;0
possorilsa_ivan;0
prinzessa_stoit_smerti;0
prozracnye_vitraji;0
rasskazy;0
revizor;0
sbornik_rasskazov;0
sinel;0
skazki_dla_idiotov;0
skucnaa_istoria;0
starosvetskie_pomesiki;0
steklannoe_more;0
step;0
svoi_ludi_soctemsa;0
taras_bul_ba;0
telenok;0
tri_sestry;0
v_vagone;0
visnevyj_sad;0
vstreca_vesny;0
zapiski_sumassedsego;0
